epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,465.676,1.003,3.08146,0.00414,0.77174,0.69767,0.78287,0.6078,0.779,3.03963,0.00345,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,480.319,1.38484,3.45026,0.00502,0.72658,0.61905,0.78851,0.6149,0.81391,2.99977,0.00372,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,494.325,1.00326,2.98913,0.00445,0.72658,0.61905,0.78851,0.6149,0.81391,2.99977,0.00372,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,508.648,0.91893,2.93027,0.00409,0.72637,0.66667,0.79032,0.58423,0.90422,2.86965,0.00392,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,522.934,1.00063,2.94398,0.0045,0.72637,0.66667,0.79032,0.58423,0.90422,2.86965,0.00392,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,536.743,1.01305,2.8594,0.00404,0.77508,0.71112,0.81139,0.58972,0.92594,2.80897,0.004,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,550.858,1.00551,2.92631,0.00401,0.77508,0.71112,0.81139,0.58972,0.92594,2.80897,0.004,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,564.617,0.93938,2.82871,0.00418,0.81391,0.69841,0.83295,0.63278,0.85891,2.70662,0.00374,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,578.727,1.15974,2.88815,0.00474,0.81391,0.69841,0.83295,0.63278,0.85891,2.70662,0.00374,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,592.926,1.1356,2.80144,0.00402,0.80051,0.70069,0.84606,0.53708,1.12778,2.89157,0.00501,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,606.561,0.96331,2.81733,0.00498,0.80051,0.70069,0.84606,0.53708,1.12778,2.89157,0.00501,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,621.005,0.91472,2.58825,0.00416,0.81422,0.6957,0.85455,0.56154,1.05313,2.77443,0.00465,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,634.713,0.90743,2.55214,0.00378,0.81422,0.6957,0.85455,0.56154,1.05313,2.77443,0.00465,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,649.048,0.96013,2.63957,0.00381,0.84111,0.67229,0.86012,0.5754,1.04953,2.56497,0.00487,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,662.633,0.83987,2.47449,0.00376,0.84111,0.67229,0.86012,0.5754,1.04953,2.56497,0.00487,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,676.445,0.80317,2.45659,0.00385,0.86711,0.69841,0.86278,0.67813,0.71064,2.34466,0.00316,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,690.566,0.77542,2.30037,0.00341,0.86711,0.69841,0.86278,0.67813,0.71064,2.34466,0.00316,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,704.454,1.10199,2.55576,0.00541,0.81599,0.66667,0.85528,0.61104,0.86385,2.36638,0.0039,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,718.583,0.86531,2.3469,0.00411,0.81599,0.66667,0.85528,0.61104,0.86385,2.36638,0.0039,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,732.577,0.85042,2.42327,0.00413,0.76829,0.7619,0.86155,0.52836,1.09092,2.52416,0.00488,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,746.539,0.77898,2.22798,0.00342,0.76829,0.7619,0.86155,0.52836,1.09092,2.52416,0.00488,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,760.854,0.7839,2.23355,0.00352,0.80947,0.69841,0.85931,0.62198,0.86343,2.23355,0.00385,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,775.904,0.78236,2.11711,0.00335,0.80947,0.69841,0.85931,0.62198,0.86343,2.23355,0.00385,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,790.076,0.85393,2.18578,0.00338,0.87914,0.65079,0.86748,0.69088,0.6989,2.07838,0.00311,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,804.095,0.73795,2.08525,0.00289,0.87914,0.65079,0.86748,0.69088,0.6989,2.07838,0.00311,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,818.403,0.82546,2.08199,0.00381,0.77598,0.73016,0.87124,0.67392,0.79351,2.034,0.00355,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,832.382,0.76374,2.01436,0.00302,0.77598,0.73016,0.87124,0.67392,0.79351,2.034,0.00355,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,846.744,0.84355,2.13843,0.00391,0.82937,0.69841,0.87768,0.64914,0.7757,2.06855,0.00355,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,862.048,0.82914,2.06579,0.004,0.82937,0.69841,0.87768,0.64914,0.7757,2.06855,0.00355,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,876.34,0.75046,1.99914,0.00361,0.80403,0.73016,0.87729,0.60077,0.87674,2.115,0.004,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,890.127,0.7861,1.9038,0.00329,0.80403,0.73016,0.87729,0.60077,0.87674,2.115,0.004,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,904.019,0.78206,1.90905,0.00377,0.68364,0.85752,0.88563,0.68801,0.71634,1.89929,0.0031,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,918.538,0.74308,2.01825,0.00352,0.68364,0.85752,0.88563,0.68801,0.71634,1.89929,0.0031,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,932.791,0.71761,1.85597,0.00325,0.72194,0.87302,0.891,0.72559,0.70047,1.8099,0.0031,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,947.294,0.74514,1.83981,0.00292,0.72194,0.87302,0.891,0.72559,0.70047,1.8099,0.0031,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,961.734,0.75886,1.86721,0.0034,0.73047,0.87302,0.89242,0.71538,0.6633,1.82581,0.00295,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,974.964,0.7428,1.87703,0.00379,0.73047,0.87302,0.89242,0.71538,0.6633,1.82581,0.00295,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,989.711,0.7046,1.73345,0.00332,0.72468,0.87742,0.90147,0.772,0.56965,1.65596,0.00251,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,1003.26,0.7516,1.93863,0.00348,0.72468,0.87742,0.90147,0.772,0.56965,1.65596,0.00251,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,1016.6,0.76776,1.82885,0.00345,0.78894,0.87302,0.90651,0.77211,0.56043,1.64784,0.00249,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,1029.52,0.85029,1.864,0.0042,0.78894,0.87302,0.90651,0.77211,0.56043,1.64784,0.00249,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,1042.89,0.66654,1.61862,0.00305,0.79318,0.85229,0.91377,0.78324,0.57326,1.5817,0.00253,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,1057.04,0.70941,1.70338,0.00301,0.79318,0.85229,0.91377,0.78324,0.57326,1.5817,0.00253,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,1070.71,0.77726,1.72412,0.00353,0.79087,0.90476,0.92389,0.78958,0.60362,1.5521,0.00267,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,1084.29,0.76147,1.59493,0.00361,0.79087,0.90476,0.92389,0.78958,0.60362,1.5521,0.00267,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,1097.39,0.90731,1.85351,0.00437,0.8081,0.93579,0.92115,0.77169,0.62115,1.54707,0.00274,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,1111.12,0.7379,1.68616,0.00376,0.8081,0.93579,0.92115,0.77169,0.62115,1.54707,0.00274,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,1125.09,0.77677,1.65617,0.00409,0.81716,0.95238,0.91289,0.71691,0.76534,1.60877,0.00355,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,1139.13,0.90211,1.64913,0.00348,0.81716,0.95238,0.91289,0.71691,0.76534,1.60877,0.00355,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,1153.3,0.81686,1.71694,0.0039,0.80354,0.96825,0.9177,0.72871,0.74285,1.54661,0.00344,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,1167.72,0.75362,1.71255,0.00315,0.80354,0.96825,0.9177,0.72871,0.74285,1.54661,0.00344,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,1182.44,0.85846,1.60627,0.00421,0.79069,0.96825,0.92198,0.76445,0.63623,1.48997,0.00288,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
